,id,question,desired_answer,student_answer,score_me,score_other,score_avg,student_amr
10,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,A program that stimulates the behavior of portions of the desired software product.,5,5,5,"# ::snt A program that stimulates the behavior of portions of the desired software product.
(p / program
      :ARG0-of (s / stimulate-01
            :ARG1 (b / behave-01
                  :ARG0 (p2 / portion
                        :part-of (p3 / product
                              :mod (s2 / software)
                              :ARG1-of (d / desire-01))))))"
11,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,A program that simulates the behavior of portions of the desired software product.,5,5,5,"# ::snt A program that simulates the behavior of portions of the desired software product.
(p / program
      :ARG0-of (s / simulate-01
            :ARG1 (b / behave-01
                  :ARG0 (p2 / portion
                        :part-of (p3 / product
                              :mod (s2 / software)
                              :ARG1-of (d / desire-01))))))"
12,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To lay out the basics and give you a starting point in the actual problem solving.,2,2,2,"# ::snt To lay out the basics and give you a starting point in the actual problem solving.
(a / and
      :op1 (l / lay-out-03
            :ARG1 (b / basic))
      :op2 (g / give-01
            :ARG1 (p / point
                  :ARG0-of (s / start-01
                        :ARG1 (s2 / solve-01
                              :ARG1 (p2 / problem)
                              :ARG1-of (a2 / actual-02))))
            :ARG2 (y / you)))"
13,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To simulate problem solving for parts of the problem,4,5,4.5,"# ::snt To simulate problem solving for parts of the problem
(s / simulate-01
      :ARG1 (s2 / solve-01
            :ARG1 (p / problem)
            :ARG2 (p2 / part
                  :part-of (p3 / problem))))"
14,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,2,2,2,"# ::snt A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.
(p / provide-01
      :ARG0 (p2 / program
            :mod (p3 / prototype))
      :ARG1 (g / groundwork
            :mod (b / basic)
            :source-of (a / and
                  :op1 (e / enhance-01
                        :ARG1 (s / solve-01
                              :ARG1 (p4 / problem))
                        :degree (f / further))
                  :op2 (ii / improve-01
                        :ARG1 s))))"
15,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,"A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",4,5,4.5,"# ::snt A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.
(m / multi-sentence
      :snt1 (p / program
            :mod (p2 / prototype)
            :part-of (p3 / phase
                  :mod (s / specific-02)
                  :part-of (p4 / program
                        :name (n / name
                              :op1 ""Software""
                              :op2 ""Problem""
                              :op3 ""Solvin""))))
      :snt2 (a / and
            :op1 (e / employ-01
                  :ARG1 (ii / it)
                  :ARG2 (ii2 / illustrate-01
                        :ARG0 ii
                        :ARG1 (t / thing
                              :manner-of (s2 / solve-01
                                    :ARG1 (o / or
                                          :op1 (p5 / problem
                                                :ARG1-of (k / key-02))
                                          :op2 (p6 / problem))
                                    :location (p7 / program)))))
            :op2 (s3 / serve-01
                  :ARG1 ii
                  :ARG2 (p8 / program
                        :mod (b / base)
                        :ARG1-of (e2 / expand-01))
                  :frequency (s4 / sometimes))))"
16,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,Program that simulates the behavior of portions of the desired software product,5,5,5,"# ::snt Program that simulates the behavior of portions of the desired software product
(p / program
      :ARG0-of (s / simulate-01
            :ARG1 (b / behave-01
                  :ARG0 (p2 / portion
                        :part-of (p3 / product
                              :mod (s2 / software)
                              :ARG1-of (d / desire-01))))))"
17,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,it provides a limited proof of concept to verify with the client before actually programming the whole application.,2,2,2,"# ::snt it provides a limited proof of concept to verify with the client before actually programming the whole application.
(p / provide-01
      :ARG0 (ii / it)
      :ARG1 (p2 / prove-01
            :ARG1 (c / concept)
            :ARG1-of (l / limit-01))
      :purpose (v / verify-01
            :ARG0 ii
            :ARG2 (c2 / client)
            :time (b / before
                  :op1 (p3 / program-01
                        :ARG1 (a / application
                              :mod (w / whole))
                        :ARG1-of (a2 / actual-02)))))"
18,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,It tests the main function of the program while leaving out the finer details.,2,2,2,"# ::snt It tests the main function of the program while leaving out the finer details.
(c / contrast-01
      :ARG1 (t / test-01
            :ARG0 (ii / it)
            :ARG1 (f / function-01
                  :ARG1 (p / program)
                  :mod (m / main)))
      :ARG2 (l / leave-out-03
            :ARG0 ii
            :ARG1 (d / detail
                  :ARG1-of (h / have-degree-91
                        :ARG2 (f2 / fine-03
                              :ARG1 d)
                        :ARG3 (m2 / more)))))"
19,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To get early feedback from users in early stages of development.  To show users a first idea of what the program will do/look like.  To make sure the program will meet requirements before intense programming begins.,3,2,2.5,"# ::snt To get early feedback from users in early stages of development.  To show users a first idea of what the program will do/look like.  To make sure the program will meet requirements before intense programming begins.
(m / multi-sentence
      :snt1 (g / get-01
            :ARG1 (f / feedback
                  :mod (e / early))
            :ARG2 (p / person
                  :ARG0-of (u / use-01))
            :time (s / stage
                  :mod (e2 / early)
                  :mod (d / develop-02)))
      :snt2 (s2 / show-01
            :ARG1 (ii / idea
                  :mod (f2 / first)
                  :topic (s3 / slash
                        :op1 (d2 / do-02
                              :ARG0 (p2 / program))
                        :op2 (l / look-02
                              :ARG0 p2)))
            :ARG2 p
            :ARG0-of (u2 / use-01))
      :snt3 (e3 / ensure-01
            :ARG1 (m2 / meet-01
                  :ARG0 (p3 / program)
                  :ARG1 (t / thing
                        :ARG1-of (r / require-01)))
            :time (b / before
                  :op1 (b2 / begin-01
                        :ARG1 (p4 / program-01
                              :ARG1-of (ii2 / intense-02))))))"
20,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,it simulates the behavior of portions of the desired software product,5,5,5,"# ::snt it simulates the behavior of portions of the desired software product
(s / simulate-01
      :ARG0 (ii / it)
      :ARG1 (b / behave-01
            :ARG0 (p / portion
                  :part-of (p2 / product
                        :mod (s2 / software)
                        :ARG1-of (d / desire-01)))))"
21,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,It simulates the behavior of portions of the desired software product.,5,5,5,"# ::snt It simulates the behavior of portions of the desired software product.
(s / simulate-01
      :ARG0 (ii / it)
      :ARG1 (b / behave-01
            :ARG0 (p / portion
                  :part-of (p2 / product
                        :mod (s2 / software)
                        :ARG1-of (d / desire-01)))))"
22,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,A prototype program is used in problem solving to collect data for the problem.,1,2,1.5,"# ::snt A prototype program is used in problem solving to collect data for the problem.
(u / use-01
      :ARG1 (p / program
            :mod (p2 / prototype))
      :ARG2 (s / solve-01
            :ARG1 (p3 / problem))
      :purpose (c / collect-01
            :ARG1 (d / data)
            :purpose (p4 / problem)))"
23,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To ease the understanding of problem under discussion and to ease the understanding of the program itself,2,3,2.5,"# ::snt To ease the understanding of problem under discussion and to ease the understanding of the program itself
(a / and
      :op1 (e / ease-02
            :ARG1 (u / understand-01
                  :ARG1 (p / problem
                        :ARG1-of (d / discuss-01))))
      :op2 (e2 / ease-02
            :ARG1 (u2 / understand-01
                  :ARG1 (p2 / program))))"
24,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,it simulates the behavior of portions of the desired software product,5,5,5,"# ::snt it simulates the behavior of portions of the desired software product
(s / simulate-01
      :ARG0 (ii / it)
      :ARG1 (b / behave-01
            :ARG0 (p / portion
                  :part-of (p2 / product
                        :mod (s2 / software)
                        :ARG1-of (d / desire-01)))))"
25,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,The role of a prototype program is to help spot key problems that may arise during the actual programing.,2,2,2,"# ::snt The role of a prototype program is to help spot key problems that may arise during the actual programing.
(r / role
      :poss (p / program
            :mod (p2 / prototype))
      :domain (h / help-01
            :ARG0 p
            :ARG1 (s / spot-01
                  :ARG1 (p3 / problem
                        :ARG1-of (k / key-02)
                        :ARG1-of (a / arise-02
                              :ARG1-of (p4 / possible-01)
                              :time (p5 / program
                                    :ARG1-of (a2 / actual-02)))))))"
26,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,"the prototype program gives a general idea of what the end product will do,   without the time and effort to write out the entire program.",4,2,3,"# ::snt the prototype program gives a general idea of what the end product will do,   without the time and effort to write out the entire program.
(g / give-01
      :ARG0 (p / program
            :mod (p2 / prototype))
      :ARG1 (ii / idea
            :ARG1-of (g2 / general-02)
            :topic (t / thing
                  :ARG1-of (d / do-02
                        :ARG0 (p3 / product
                              :mod (e / end)))))
      :manner (a / and
            :polarity -
            :op1 (t2 / time)
            :op2 (e2 / effort-01)
            :purpose (w / write-out-05
                  :ARG1 (p4 / program
                        :mod (e3 / entire)))))"
27,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,to show that a certain part of the program works as it is supposed to,4,2,3,"# ::snt to show that a certain part of the program works as it is supposed to
(h / have-purpose-91
      :ARG2 (s / show-01
            :ARG1 (w / work-09
                  :ARG1 (p / part
                        :part-of (p2 / program)
                        :mod (c / certain))
                  :ARG1-of (s2 / suppose-02))))"
28,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,"Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA/Design lvl before proceeding into creating a solution. ",3,2,2.5,"# ::snt Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA/Design lvl before proceeding into creating a solution. 
(m / multi-sentence
      :snt1 (a / approach-02
            :ARG1 (p / program-01
                  :mod (p2 / prototype))
            :ARG0-of (e / enable-01
                  :ARG1 (t / take-01
                        :ARG0 (o / one)
                        :ARG1 (a2 / approach-02
                              :ARG1 (d / develop-02
                                    :ARG1 (p3 / program-01
                                          :ARG1-of (e2 / effective-04))
                                    :manner (a3 / and
                                          :op1 (e3 / error
                                                :mod (m2 / minimal))
                                          :op2 (p4 / pattern
                                                :mod (s / strategy)))
                                    :time (s2 / solve-01
                                          :ARG1 (p5 / problem)))
                              :ARG1-of (o2 / organize-01)))))
      :snt2 (g / give-01
            :ARG0 (b / book)
            :ARG1 (e4 / exemplify-01
                  :ARG1 (w / withdraw-01
                        :ARG0 (p6 / person
                              :ARG0-of (c / costume-01))
                        :ARG1 (m3 / money)
                        :ARG2 (b2 / bank))
                  :ARG1-of (m4 / mean-01
                        :ARG2 a2
                        :ARG1 (t2 / take-01
                              :ARG1 (l / level
                                    :mod (c2 / code
                                          :mod (p7 / pseudo)))
                              :time (b3 / before
                                    :op1 (p8 / proceed-01
                                          :ARG1 p6
                                          :ARG2 (c3 / create-01
                                                :ARG1 s2))))))))"
29,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining and possibly the design if the testing phase reveals problems in the design. Production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated. Also affects coding because after testing you may need to rewrite the code for the program to remove errors.,5,2,3.5,"# ::snt Refining and possibly the design if the testing phase reveals problems in the design. Production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated. Also affects coding because after testing you may need to rewrite the code for the program to remove errors.
(m / multi-sentence
      :snt1 (a / and
            :op1 (r / refine-01)
            :op2 (p / possible-01
                  :ARG1 (d / design-01))
            :condition (r2 / reveal-01
                  :ARG0 (p2 / phase
                        :mod (t / test-01))
                  :ARG1 (p3 / problem
                        :topic (d2 / design-01))))
      :snt2 (p4 / possible-01
            :ARG1 (a2 / affect-01
                  :ARG1 (p5 / produce-01)
                  :condition (p6 / possible-01
                        :polarity -
                        :ARG1 (w / work-01
                              :ARG1 (p7 / program)
                              :manner (f / form
                                    :time (c / current)
                                    :poss p7)
                              :ARG0-of (l / lead-03
                                    :ARG2 (t2 / time
                                          :mod (p8 / produce-01)
                                          :time (a3 / after
                                                :op1 (e / estimate-01
                                                      :mod (o / original)))))))))
      :snt2 (a4 / affect-01
            :ARG0 p4
            :ARG1 (c2 / code-01))
      :mod (a5 / also)
      :ARG1-of (c3 / cause-01
            :ARG0 p6
            :ARG1 (n / need-01
                  :ARG0 (y / you)
                  :ARG1 (r3 / rewrite-01
                        :ARG0 y
                        :ARG1 (c4 / code-01
                              :purpose (p9 / program))
                        :purpose (r4 / remove-01
                              :ARG0 y
                              :ARG1 (e2 / error)))
                  :time a3
                  :op1 (t3 / test-01))))"
30,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),The implementation phase and the maintenance phase are effected,3,5,4,"# ::snt The implementation phase and the maintenance phase are effected
(a / affect-01
      :ARG1 (a2 / and
            :op1 (p / phase
                  :mod (ii / implement-01))
            :op2 (p2 / phase
                  :mod (m / maintain-01))))"
31,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Verification, coding, refining the solution and maintenance are all influenced by the testing stage.",4,5,4.5,"# ::snt Verification, coding, refining the solution and maintenance are all influenced by the testing stage.
(ii / influence-01
      :ARG0 (s / stage
            :mod (t / test-01))
      :ARG1 (a / and
            :op1 (v / verify-01)
            :op2 (c / code-01)
            :op3 (r / refine-01
                  :ARG1 (s2 / solution))
            :op4 (m / maintain-01)
            :mod (a2 / all)))"
32,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"In RUP the stages in the software life cycle are influenced by the testing stage is:  Elaboration phase- refined progject vision, iterative devilopment of core system, development of system requirements, more accurate time and cost estimates.  Construction phase- iterative development of remaining system.  Transition phase-testing and deployment of the system.",2,4,3,"# ::snt In RUP the stages in the software life cycle are influenced by the testing stage is:  Elaboration phase- refined progject vision, iterative devilopment of core system, development of system requirements, more accurate time and cost estimates.  Construction phase- iterative development of remaining system.  Transition phase-testing and deployment of the system.
(ii / influence-01
      :ARG0 (s / stage
            :mod (t / test-01))
      :ARG1 (s2 / stage
            :part-of (c / cycle
                  :mod (l / life)
                  :mod (s3 / software)))
      :ARG2 (a / and
            :op1 (e / envision-01
                  :ARG1 (p / project)
                  :ARG1-of (r / refine-01)
                  :mod (p2 / phase
                        :mod (e2 / elaborate-01)))
            :op2 (d / develop-02
                  :ARG1 (r2 / requirement
                        :mod (s4 / system)))
            :op3 (d2 / develop-02
                  :ARG1 (e3 / estimate-01
                        :ARG1 (a2 / and
                              :op1 (t2 / time)
                              :op2 (c2 / cost-01))
                        :ARG1-of (h / have-degree-91
                              :ARG2 (a3 / accurate)
                              :ARG3 (m / more))))
            :op4 (d3 / develop-02
                  :ARG1 (s5 / system
                        :ARG1-of (r3 / remain-01))
                  :mod (p3 / phase
                        :mod (c3 / construct-01))
                  :mod (ii2 / iterative))
            :op5 (a4 / and
                  :op1 (t3 / test-01
                        :mod (t4 / transition-01))
                  :op2 (d4 / deploy-01
                        :ARG1 s5)))
      :location (p4 / product
            :name (n / name
                  :op1 ""RUP"")))"
33,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Refining the solution, Production and Maintenance are all influenced by the Testing stage. ",3,3,3,"# ::snt Refining the solution, Production and Maintenance are all influenced by the Testing stage. 
(ii / influence-01
      :ARG0 (s / stage
            :mod (t / test-01))
      :ARG1 (a / and
            :op1 (r / refine-01
                  :ARG1 (s2 / solution))
            :op2 (p / produce-01)
            :op3 (m / maintain-01)
            :mod (a2 / all)))"
34,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Elaboration, Construction, and Transition are all affected by testing",2,2,2,"# ::snt Elaboration, Construction, and Transition are all affected by testing
(a / affect-01
      :ARG0 (t / test-01)
      :ARG1 (a2 / and
            :op1 (e / elaborate-01)
            :op2 (c / construct-01)
            :op3 (t2 / transition-01)
            :mod (a3 / all)))"
35,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Refining, Production, Maintenance",3,4,3.5,"# ::snt Refining, Production, Maintenance
(a / and
      :op1 (r / refine-01)
      :op2 (p / produce-01)
      :op3 (m / maintain-01))"
36,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining the solution,3,5,4,"# ::snt Refining the solution
(r / refine-01
      :ARG1 (t / thing
            :ARG2-of (s / solve-01)))"
37,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),#NAME?,3,1,2,"# ::snt #NAME?
(n / name
      :polarity (a / amr-unknown))"
38,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining and Coding,5,5,5,"# ::snt Refining and Coding
(a / and
      :op1 (r / refine-01)
      :op2 (c / code-01))"
39,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"The second half of the Elaboration phase, Construction phase, and the Transition phase. ",2,3,2.5,"# ::snt The second half of the Elaboration phase, Construction phase, and the Transition phase. 
(h / half
      :ord (o / ordinal-entity
            :value 2)
      :part-of (a / and
            :op1 (p / phase
                  :mod (e / elaborate-01))
            :op2 (p2 / phase
                  :mod (c / construct-01))
            :op3 (p3 / phase
                  :mod (t / transition-01))))"
40,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"The refining step, the production step, and the maintenance stage.  ",3,4,3.5,"# ::snt The refining step, the production step, and the maintenance stage.  
(a / and
      :op1 (s / step
            :mod (r / refine-01))
      :op2 (s2 / step
            :mod (p / produce-01))
      :op3 (s3 / stage
            :mod (m / maintain-01)))"
41,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"Elaboration, Construction, Transition",2,2,2,"# ::snt Elaboration, Construction, Transition
(a / and
      :op1 (e / elaborate-01)
      :op2 (c / construct-01)
      :op3 (t / transition-01))"
42,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Refining.,3,3,3,"# ::snt Refining.
(r / refine-01)"
43,1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),"The testing stage has a direct influence on the final version of a program, being as it is the debugging and finalization of a software revision.",2,1,1.5,"# ::snt The testing stage has a direct influence on the final version of a program, being as it is the debugging and finalization of a software revision.
(ii / influence-01
      :ARG0 (s / stage
            :mod (t / test-01))
      :ARG1 (v / version
            :mod (f / final)
            :poss (p / program))
      :ARG1-of (d / direct-02)
      :ARG1-of (c / cause-01
            :ARG0 (a / and
                  :op1 (d2 / debug-01
                        :ARG1 (r / revise-01
                              :ARG1 (s2 / software)))
                  :op2 (f2 / finalize-01
                        :ARG1 r))))"
